City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,kapa'a,22.0752,-159.319,27.99,79,40,5.14,US,1699496448
244,concepcion del oro,24.6333,-101.4167,19.83,32,8,2.48,MX,1699496449
245,terenozek,45.05,64.9833,9.86,71,100,5.55,KZ,1699496449
246,utrik,11.2278,169.8474,27.9,82,86,9.82,MH,1699496450
247,vadso,70.0744,29.7487,-2.91,74,100,3.6,NO,1699496451
248,topi,34.0704,72.6236,17.28,39,85,1.87,PK,1699496451
249,salalah,17.0151,54.0924,27.05,32,0,3.6,OM,1699496455
250,tarnogskiy gorodok,60.4997,43.5761,1.12,99,100,0.8,RU,1699496455
251,kirakira,-10.4544,161.9205,28.47,80,84,5.8,SB,1699496456
252,badiyah,22.45,58.8,22.83,72,1,1.56,OM,1699496457
253,lata,40.1629,-8.3327,12.73,94,100,1.89,PT,1699496457
254,burang,30.25,81.1667,-2.26,59,3,1.62,CN,1699496458
255,sibut,5.718,19.0739,22.98,92,100,0.39,CF,1699496458
256,constantia,44.1833,28.65,8.38,62,100,7.28,RO,1699496459
257,tamasi,46.6333,18.2833,6.68,81,0,2.55,HU,1699496460
258,shawano,44.7822,-88.609,5.99,100,100,0.0,US,1699496460
259,mossel bay,-34.1831,22.146,14.11,73,0,1.04,ZA,1699496461
260,tsiombe,-25.3,45.4833,23.43,74,100,1.93,MG,1699496359
261,maragogi,-9.0122,-35.2225,25.34,77,100,4.43,BR,1699496462
262,licheng,23.2955,113.8284,26.7,68,46,2.86,CN,1699496462
263,noosa heads,-26.3833,153.15,26.85,53,0,3.06,AU,1699496464
264,port augusta,-32.5,137.7667,32.22,20,1,2.33,AU,1699496465
265,port elizabeth,-33.918,25.5701,13.51,82,0,2.06,ZA,1699496465
266,edd,13.9297,41.6925,29.52,48,18,4.88,ER,1699496466
267,dabai,11.4765,5.2063,23.74,23,99,0.95,NG,1699496468
268,tromso,69.6496,18.957,-2.99,80,15,1.54,NO,1699496469
269,lockport,41.5895,-88.0578,12.17,91,100,6.17,US,1699496391
270,i-n-salah,27.1935,2.4607,23.01,16,29,5.05,DZ,1699496471
271,talcahuano,-36.7167,-73.1167,12.82,82,0,4.12,CL,1699496415
272,el amria,35.5244,-1.0158,14.83,65,100,1.72,DZ,1699496471
273,homestead meadows south,31.811,-106.1643,25.71,26,100,5.16,US,1699496472
274,antalaha,-14.9003,50.2788,21.96,87,14,2.12,MG,1699496241
275,kruisfontein,-34.0033,24.7314,11.19,80,0,2.66,ZA,1699496474
276,grand falls-windsor,48.9332,-55.6649,3.06,94,100,2.68,CA,1699496269
277,vilyuchinsk,52.9306,158.4028,1.15,59,5,5.14,RU,1699496476
278,sokhumi,43.0033,41.0153,14.33,33,92,2.58,GE,1699496476
279,lerwick,60.1545,-1.1494,8.0,74,43,7.65,GB,1699496477
280,pisco,-13.7,-76.2167,19.03,82,0,4.12,PE,1699496478
281,bathsheba,13.2167,-59.5167,27.34,89,20,6.69,BB,1699496479
282,koronowo,53.3137,17.937,4.16,99,100,3.9,PL,1699496481
283,ikwiriri,-7.9562,38.9716,22.39,97,86,0.3,TZ,1699496482
